狀態,資料夾,檔名,尺寸,大小,最後更新,用途,Alt text（替代文字）,標題 Title,備註,WordPress 網址（9 月上載）,上載完成 ☐
✅ 最終版（已核對）,1-必上載-內文圖（兩個版本共用）,boat-party-checklist-2026.webp,1600x900,63KB,2026-09-26,內文：船P必備清單（桌面）,船P必備清單：落水人士、打卡舒適型、搞手出發前檢查表,船P必備清單 出發前檢查表,必上載,https://aoaodelivery.com/wp-content/uploads/2026/09/boat-party-checklist-2026.webp,
✅ 最終版（已核對）,1-必上載-內文圖（兩個版本共用）,boat-party-checklist-2026-mobile.webp,1080x1350,75KB,2026-09-26,內文：船P必備清單（手機 4:5）,船P必備清單：落水人士、打卡舒適型、搞手出發前檢查表,船P必備清單 出發前檢查表（手機）,必上載,https://aoaodelivery.com/wp-content/uploads/2026/09/boat-party-checklist-2026-mobile.webp,
✅ 最終版（已核對）,1-必上載-內文圖（兩個版本共用）,boat-party-food-drinks-2026.webp,1600x900,58KB,2026-09-27（v21：綠色標籤置中、刪除 ✕）,內文：船P食物飲品（桌面）,船P食物飲品攻略：適合帶上船的一口小食及飲品冰塊,船P食物飲品攻略,必上載,https://aoaodelivery.com/wp-content/uploads/2026/09/boat-party-food-drinks-2026.webp,
✅ 最終版（已核對）,1-必上載-內文圖（兩個版本共用）,boat-party-food-drinks-2026-mobile.webp,1080x1350,66KB,2026-09-27（v21：綠色標籤置中、刪除 ✕、飲品區上移）,內文：船P食物飲品（手機 4:5）,船P食物飲品攻略：適合帶上船的一口小食及飲品冰塊,船P食物飲品攻略（手機）,必上載,https://aoaodelivery.com/wp-content/uploads/2026/09/boat-party-food-drinks-2026-mobile.webp,
✅ 最終版（已核對）,2-靜態版KV（用FINAL.html才上載）,boat-party-catering-2026-kv.webp,1600x900,65KB,2026-09-26,KV 主圖（桌面）,船河到會 2026 船P必備清單及到會食物攻略,船河到會 2026 主圖,只在用靜態版時上載,https://aoaodelivery.com/wp-content/uploads/2026/09/boat-party-catering-2026-kv.webp,
✅ 最終版（已核對）,2-靜態版KV（用FINAL.html才上載）,boat-party-catering-2026-kv-mobile.webp,1080x1350,73KB,2026-09-26,KV 主圖（手機 4:5）,船河到會 2026 船P必備清單及到會食物攻略,船河到會 2026 主圖（手機）,只在用靜態版時上載,https://aoaodelivery.com/wp-content/uploads/2026/09/boat-party-catering-2026-kv-mobile.webp,
✅ 最終版（已核對）,3-動畫版KV（用FINAL-animated.html才上載）,boat-party-catering-2026-kv-bg.webp,1600x900,47KB,2026-09-27（v17：壓縮優化）,動畫 KV 背景（桌面，無人物）,船河到會 2026 船P必備清單及到會食物攻略,船河到會 2026 主圖背景,只在用動畫版時上載,https://aoaodelivery.com/wp-content/uploads/2026/09/boat-party-catering-2026-kv-bg.webp,
✅ 最終版（已核對）,3-動畫版KV（用FINAL-animated.html才上載）,boat-party-catering-2026-kv-bg-mobile.webp,1080x1350,52KB,2026-09-27（v17：壓縮優化）,動畫 KV 背景（手機 4:5，無人物）,船河到會 2026 船P必備清單及到會食物攻略,船河到會 2026 主圖背景（手機）,只在用動畫版時上載,https://aoaodelivery.com/wp-content/uploads/2026/09/boat-party-catering-2026-kv-bg-mobile.webp,
✅ 最終版（已核對）,3-動畫版KV（用FINAL-animated.html才上載）,boat-party-kv-person-1.webp,256x328,6KB,2026-09-27（v17：縮至 256px）,動畫人物 1（藍衣舉罐）,（留空，裝飾圖）,KV 動畫人物 1,只在用動畫版時上載；alt 留空,https://aoaodelivery.com/wp-content/uploads/2026/09/boat-party-kv-person-1.webp,
✅ 最終版（已核對）,3-動畫版KV（用FINAL-animated.html才上載）,boat-party-kv-person-2.webp,256x328,6KB,2026-09-27（v17：縮至 256px）,動畫人物 2（黃衣舉杯）,（留空，裝飾圖）,KV 動畫人物 2,只在用動畫版時上載；alt 留空,https://aoaodelivery.com/wp-content/uploads/2026/09/boat-party-kv-person-2.webp,
✅ 最終版（已核對）,3-動畫版KV（用FINAL-animated.html才上載）,boat-party-kv-person-3.webp,256x328,6KB,2026-09-27（v17：縮至 256px）,動畫人物 3（紅衣自拍）,（留空，裝飾圖）,KV 動畫人物 3,只在用動畫版時上載；alt 留空,https://aoaodelivery.com/wp-content/uploads/2026/09/boat-party-kv-person-3.webp,
✅ 最終版（已核對）,4-特色圖片Featured-image,boat-party-catering-2026-kv.jpg,1600x900,125KB,2026-09-26,特色圖片（Google／FB／WhatsApp 分享縮圖）,船河到會 2026 船P必備清單及到會食物攻略,船河到會 2026 船P必備清單及到會食物攻略,必上載；在文章右邊「特色圖片」設定,https://aoaodelivery.com/wp-content/uploads/2026/09/boat-party-catering-2026-kv.jpg,
